central_id,central_id_norm,plant_name_norm,matched_caudal_id,method,score,confidence,nn_best_km,nn_second_id,nn_second_km,subtipo_de_central,potencia_efectiva_mw,lat,lon
Coca_Codo_Sinclair,coca_codo_sinclair,coca_codo_sinclair,coca_codo_sinclair,alias_manual,1.0,high,,,,Pasada,1476.0,-0.3386642,-77.809851
Molino,molino,molino,ingreso_amaluza,alias_manual,1.0,high,,,,Embalse,1100.0,-2.7051608,-78.6014387
Sopladora,sopladora,sopladora,ingreso_amaluza,alias_manual,1.0,high,,,,Pasada,486.9,-2.7051608,-78.6014387
Minas_San_Francisco,minas_san_francisco,minas_san_francisco,agoyan,alias_manual,1.0,high,,,,Pasada,270.0,-3.1748913,-79.5147127
Marcel_Laniado,marcel_laniado,marcel_laniado,daule_peripa,alias_manual,1.0,high,,,,Embalse,213.0,-0.9910107,-79.6642365
San_Francisco,san_francisco,san_francisco,agoyan,alias_manual,1.0,high,,,,Pasada,212.0,-1.3319157,-78.2625285
Delsitanisagua,delsitanisagua,delsitanisagua,delsitanisagua,alias_manual,1.0,high,,,,Pasada,180.0,-4.0042008,-78.9577754
Mazar,mazar,mazar,mazar,alias_manual,1.0,high,,,,Embalse,170.0,-2.7051608,-78.6014387
Agoyan,agoyan,agoyan,agoyan,alias_manual,1.0,high,,,,Pasada,154.0,-1.3319157,-78.2625285
Pucara,pucara,pucara,agoyan,alias_manual,1.0,high,,,,Embalse,70.6,-1.1725302,-78.5423177
Manduriacu,manduriacu,manduriacu,coca_codo_sinclair,alias_manual,1.0,high,,,,Pasada,65.0,0.3955234,-78.4507013
Due,due,due,coca_codo_sinclair,alias_manual,1.0,high,,,,Pasada,64.3,0.1116857,-77.6398817
Hidrosanbartolo,hidrosanbartolo,hidrosanbartolo,delsitanisagua,alias_manual,1.0,high,,,,Pasada,49.95,-3.7939049,-79.2817721
Hidronormandfa,hidronormandfa,hidronormandfa,mazar,alias_manual,1.0,high,,,,Pasada,49.58,-2.4303097,-77.880192
Sarapullo,sarapullo,sarapullo,coca_codo_sinclair,alias_manual,1.0,high,,,,Pasada,48.45,-0.4984774,-78.6516915
